2025-04-15 13:53:03,262 INFO    MainThread:12113 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-15 13:53:03,263 INFO    MainThread:12113 [wandb_setup.py:_flush():67] Configure stats pid to 12113
2025-04-15 13:53:03,263 INFO    MainThread:12113 [wandb_setup.py:_flush():67] Loading settings from /home/klrshak/.config/wandb/settings
2025-04-15 13:53:03,263 INFO    MainThread:12113 [wandb_setup.py:_flush():67] Loading settings from /home/klrshak/work/VisionLang/whereami-text2sgm/playground/graph_models/models/wandb/settings
2025-04-15 13:53:03,263 INFO    MainThread:12113 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-15 13:53:03,263 INFO    MainThread:12113 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/klrshak/work/VisionLang/whereami-text2sgm/playground/graph_models/models/wandb/run-20250415_135303-zmf4c5bf/logs/debug.log
2025-04-15 13:53:03,263 INFO    MainThread:12113 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/klrshak/work/VisionLang/whereami-text2sgm/playground/graph_models/models/wandb/run-20250415_135303-zmf4c5bf/logs/debug-internal.log
2025-04-15 13:53:03,263 INFO    MainThread:12113 [wandb_init.py:init():761] calling init triggers
2025-04-15 13:53:03,263 INFO    MainThread:12113 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'architecture': 'self attention cross attention', 'dataset': 'ScanScribe_cleaned', 'mode': 'online', 'epoch': 100, 'lr': 0.0001, 'weight_decay': 5e-05, 'N': 1, 'overlap_thr': 0.8, 'cos_sim_thr': 0.5, 'batch_size': 16, 'training_set_size': 2847, 'test_set_size': 712, 'graph_size_min': 4, 'contrastive_loss': True, 'valid_top_k': [1, 2, 3, 5], 'use_attributes': True, 'training_with_cross_val': True, 'folds': 10, 'skip_k_fold': True, 'entire_training_set': False, 'subgraph_ablation': True, 'eval_iters': 30, 'eval_iter_count': 10, 'out_of': 10, 'model_name': 'model_NO_subg_100_epochs_30_eval_iters_loss_ablation_m_cut_cross', 'loss_ablation_m': True, 'loss_ablation_c': False, 'eval_only_c': False, 'continue_training': 0, 'continue_training_model': None, 'eval_entire_dataset': False, 'heads': 2, 'scannet': False, 'scanscribe_auto_gen': False, '_wandb': {}}
2025-04-15 13:53:03,263 INFO    MainThread:12113 [wandb_init.py:init():784] starting backend
2025-04-15 13:53:03,263 INFO    MainThread:12113 [wandb_init.py:init():788] sending inform_init request
2025-04-15 13:53:03,278 INFO    MainThread:12113 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-15 13:53:03,279 INFO    MainThread:12113 [wandb_init.py:init():798] backend started and connected
2025-04-15 13:53:03,281 INFO    MainThread:12113 [wandb_init.py:init():891] updated telemetry
2025-04-15 13:53:03,289 INFO    MainThread:12113 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-15 13:53:03,878 INFO    MainThread:12113 [wandb_init.py:init():990] starting run threads in backend
2025-04-15 13:53:04,091 INFO    MainThread:12113 [wandb_run.py:_console_start():2375] atexit reg
2025-04-15 13:53:04,091 INFO    MainThread:12113 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-15 13:53:04,092 INFO    MainThread:12113 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-15 13:53:04,092 INFO    MainThread:12113 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-15 13:53:04,094 INFO    MainThread:12113 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-15 13:53:11,854 INFO    MsgRouterThr:12113 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
